id,pred
2016_1314_1462,0.570709
2016_1314_1452,0.651925
2016_1314_1323,0.892287
2016_1314_1458,0.780331
2016_1314_1425,0.847932
2016_1314_1344,0.844287
2016_1314_1338,0.873920
2016_1314_1409,0.640327
2016_1314_1392,0.819031
2016_1314_1372,0.574178
2016_1314_1451,0.687844
2016_1314_1438,0.430644
2016_1314_1428,0.547317
2016_1314_1345,0.456112
2016_1314_1371,0.526504
2016_1314_1403,0.606050
2016_1314_1393,0.597692
2016_1314_1437,0.678329
2016_1314_1396,0.907822
2016_1314_1435,0.848997
2016_1314_1455,0.745006
2016_1314_1355,0.841764
2016_1314_1421,0.872215
2016_1314_1332,0.740697
2016_1314_1328,0.780709
2016_1314_1401,0.762764
2016_1314_1400,0.898353
2016_1314_1333,0.905574
2016_1314_1386,0.810172
2016_1314_1433,0.822836
2016_1314_1320,0.870050
2016_1314_1463,0.820012
2016_1314_1423,0.859089
2016_1314_1453,0.890143
2016_1314_1380,0.894567
2016_1462_1463,0.756892
2016_1452_1462,0.459757
2016_1452_1458,0.624171
2016_1452_1455,0.655076
2016_1452_1463,0.734865
2016_1452_1453,0.818102
2016_1246_1314,0.363452
2016_1246_1462,0.556830
2016_1246_1452,0.523442
2016_1246_1323,0.662324
2016_1246_1458,0.638055
2016_1246_1425,0.605512
2016_1246_1344,0.835182
2016_1246_1338,0.639363
2016_1246_1276,0.682762
2016_1246_1409,0.639353
2016_1246_1392,0.692296
2016_1246_1372,0.504827
2016_1246_1451,0.629305
2016_1246_1438,0.360385
2016_1246_1277,0.277045
2016_1246_1428,0.484471
2016_1246_1345,0.381590
2016_1246_1371,0.459795
2016_1246_1403,0.560000
2016_1246_1393,0.548431
2016_1246_1292,0.527346
2016_1246_1437,0.605497
2016_1246_1274,0.734251
2016_1246_1268,0.778397
2016_1246_1396,0.870565
2016_1246_1435,0.786983
2016_1246_1455,0.673999
2016_1246_1355,0.776581
2016_1246_1421,0.820378
2016_1246_1332,0.665829
2016_1246_1328,0.703369
2016_1246_1401,0.689332
2016_1246_1400,0.848690
2016_1246_1333,0.862294
2016_1246_1386,0.738303
2016_1246_1433,0.756768
2016_1246_1320,0.815976
2016_1246_1463,0.763131
2016_1246_1423,0.798497
2016_1246_1453,0.833600
2016_1246_1380,0.847123
2016_1231_1314,0.308798
2016_1231_1462,0.677566
2016_1231_1452,0.351007
2016_1231_1246,0.521572
2016_1231_1323,0.852767
2016_1231_1458,0.644009
2016_1231_1425,0.502111
2016_1231_1344,0.847783
2016_1231_1338,0.655224
2016_1231_1276,0.693982
2016_1231_1409,0.651564
2016_1231_1392,0.667393
2016_1231_1372,0.518441
2016_1231_1451,0.627202
2016_1231_1438,0.353494
2016_1231_1277,0.286054
2016_1231_1428,0.487075
2016_1231_1235,0.496123
2016_1231_1345,0.382217
2016_1231_1371,0.456021
2016_1231_1403,0.572185
2016_1231_1393,0.559221
2016_1231_1233,0.497265
2016_1231_1292,0.525252
2016_1231_1242,0.579889
2016_1231_1437,0.599351
2016_1231_1274,0.740020
2016_1231_1268,0.786718
2016_1231_1234,0.765457
2016_1231_1396,0.872758
2016_1231_1435,0.792750
2016_1231_1455,0.678808
2016_1231_1355,0.775880
2016_1231_1421,0.817447
2016_1231_1332,0.662124
2016_1231_1328,0.710882
2016_1231_1401,0.685426
2016_1231_1400,0.855859
2016_1231_1333,0.873279
2016_1231_1386,0.738285
2016_1231_1433,0.755953
2016_1231_1320,0.813131
2016_1231_1463,0.759372
